id;jabatan;unsur;sub_unsur;kegiatan;bobot
277;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;Mengevaluasi analisis klasifikasi/update klasifikasi kegiatan swakelola dan/atau non swakelola;0.020
278;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;Menyusun rekomendasi analisis klasifikasi/update klasifikasi kegiatan swakelola dan/atau non swakelola;0.010
279;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;Menyusun analisis langkah langkah rencana/update pengendalian perikatan;0.010
280;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;Mengevaluasi analisis langkah langkah rencana/update pengendalian perikatan;0.020
281;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;Menyusun rekomendasi langkah langkah rencana/update pengendalian perikatan;0.010
282;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;Menyusun analisis efisiensi pembayaran;0.010
283;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;evaluasi analisis efisiensi pembayaran/belanja;0.020
284;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;Menyusun rekomendasi analisis efisiensi pembayaran/belanja;0.010
285;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;Menyusun analisis efektivitas pembayaran/belanja;0.010
286;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;evaluasi analisis efektivitas pembayaran/belanja;0.020
287;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;Menyusun rekomendasi analisis efektivitas pembayaran/ belanja;0.010
288;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;Menyusun analisis transparansi pembayaran/belanja;0.010
289;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;evaluasi analisis transparansi pembayaran/belanja;0.020
290;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;Menyusun rekomendasi analisis transparansi pembayaran/ belanja;0.010
291;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;Menyusun analisis keterbukaan pembayaran/belanja;0.010
292;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;evaluasi analisis keterbukaan pembayaran/belanja;0.020
293;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;nyusun rekomendasi analisis keterbukaan pembayaran/belanja;0.010
294;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;nyusun analisis bersaing/kompetitif pembayaran/belanja;0.010
295;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;evaluasi analisis bersaing/kompetitif pembayaran/belanja;0.020
296;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;nyusun rekomendasi analisis bersaing/kompetitif pembayaran/belanja;0.010
297;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;menguji kebenaran Surat Permintan Pembayaran atau dokumen lain yang dipersamakan dengan Surat Permintan Pembayaran beserta dokumen pendukung;0.010
298;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;menolak dan mengembalikan Surat Permintan Pembayaran, apabila tidak memenuhi persyaratan untuk dibayarkan;0.010
299;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;membebankan tagihan pada mata anggaran yang telah disediakan;0.010
300;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;menerbitkan Surat Perintah Membayar atau dokumen lain yang dipersamakan dengan Surat Perintah Membayar;0.010
301;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;menyimpan dan menjaga keutuhan seluruh dokumen hak tagih;0.010
302;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;melaporkan pelaksanaan pengujian dan perintah pembayaran kepada Kuasa Pengguna Anggaran;0.020
303;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;melaksanakan tugas dan wewenang lainnya yang berkaitan dengan pelaksanaan pengujian;0.010
304;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;Menyusun analisis penolakan Surat Permintaan Pembayaran;0.020
305;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;evaluasi analisis penolakan Surat Permintaan Pembayaran;0.020
306;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;Menyusun rekomendasi analisis penolakan Surat Permintaan Pembayaran;0.020
307;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;Menyusun analisis kesalahan Surat Perintah Membayar;0.010
308;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;Mengevaluasi analisis kesalahan Surat Perintah Membayar;0.020
309;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;Menyusun rekomendasi analisis kesalahan Surat Perintah Membayar;0.020
310;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;Menyusun analisis retur Surat Perintah Pencairan Dana;0.010
311;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;Mengevaluasi analisis retur Surat Perintah Pencairan Dana;0.020
312;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;Menyusun rekomendasi analisis retur Surat Perintah Pencairan Dana;0.020
313;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;Menyusun analisis revolving uang persediaan;0.010
314;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;Mengevaluasi analisis revolving uang persediaan;0.020
315;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Pelaksanaan Perintah Pembayaran;Menyusun rekomendasi analisis revolving uang persediaan;0.020
316;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Mengolah data-data transaksi keuangan;0.010
317;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Menganalisis data-data transaksi keuangan;0.020
318;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Menyusun rekomendasi analisis data-data transaksi keuangan;0.030
319;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Melaksanakan rekonsiliasi laporan keuangan;0.020
320;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Menganalisis berita acara rekonsiliasi;0.040
321;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Menyusun rekomendasi analisis berita acara rekonsiliasi;0.060
322;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Mengolah data/dokumen pendukung laporan keuangan;0.020
323;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Menganalisis data/dokumen pendukung laporan keuangan;0.040
324;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Menyusun rekomendasi atas analisis dokumen pendukung laporan keuangan;0.060
325;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Menyusun Laporan keuangan;0.020
326;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Menganalisis laporan keuangan;0.040
327;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Menyusun rekomendasi laporan keuangan;0.060
328;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Melaksanakan monitoring dan evaluasi penyusunan laporan keuangan;0.020
329;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Melaksanakan analisis monev penyusunan laporan keuangan;0.040
330;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Menyusun rekomendasi monev penyusunan laporan keuangan;0.060
331;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Menyusun ringkasan temuan dan rencana tindak lanjut atas temuan pada laporan keuangan;0.020
332;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;analisis permasalahan temuan hasil pemeriksaan pada laporan keuangan dan rencana tindak lanjutnya;0.040
333;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Menyusun rekomendasi dan tindak lanjut atas analisis temuan hasil pemeriksaan pada laporan keuangan;0.030
334;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Melaksanakan penatausahaan dokumen tingkat lanjutan;0.020
335;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Menganalisis penatausahaan dokumen;0.020
336;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Analisis Laporan Keuangan Instansi;Menyusun rekomendasi penatausahaan dokumen;0.030
337;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Manajemen Layanan TI;Melakukan pemenuhan permintaan dan layanan teknologi informasi;0.150
338;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;Melakukan pengumpulan informasi mengenai data instansi;0.550
339;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;Melakukan pengadministrasian kegiatan tata kelola data;0.110
340;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;Melakukan pencatatan permasalahan pengelolaan data;0.110
341;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;Melakukan perawatan arsitektur teknologi data;0.055
342;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;Melakukan perawatan arsitektur integrasi data;0.055
343;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;Melakukan perawatan data model;0.055
344;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;Melakukan perawatan business intelligence;0.055
345;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;Melakukan perawatan taksonomi data di suatu instansi;0.275
346;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;perawatan arsitektur data;0.275
347;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;Mengembangkan data model;0.110
348;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;Melakukan perancangan data model sederhana;0.110
349;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;uji coba rancangan layanan akses data;0.110
350;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;perancangan visualisasi informasi sederhana;0.220
351;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;Melakukan uji coba rancangan visualisasi informasi;0.110
352;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;Melakukan penyiapan data uji coba rancangan database;0.055
353;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;uji coba rancangan layanan integrasi data;0.110
354;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;uji coba prosedur validasi kebutuhan informasi;0.110
355;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;instalasi/updating DBMS;0.055
356;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;penggandaan data;0.001
357;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;pemantauan (monitoring ) kinerja database;0.010
358;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;pengarsipan, pencarian kembali (retrieve ), atau penghapusan data;0.060
359;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;implementasi teknologi data;0.110
360;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;support pemecahan masalah teknologi data;0.028
361;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;implementasi data warehouse;0.760
362;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;pemantauan (monitoring ) autentifikasi atau perilaku akses pengguna;0.128
363;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;registrasi permasalahan kualitas data;0.225
364;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Pengelolaan data;pemantauan (monitoring ) implementasi prosedur pengelolaan kualitas data;0.225
365;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Audit TI;pengumpulan informasi dasar untuk kebutuhan audit TI;0.380
366;Pranata Komputer;Tata Kelola dan Tata Laksana Teknologi Informasi;Audit TI;pengumpulan dokumen untuk kebutuhan audit TI;0.730
367;Pranata Komputer;Infrastruktur TI;SIstem jaringan komputer;Analisis kebutuhan penggua sistem jaringan komputer lokal;0.600
368;Pranata Komputer;Infrastruktur TI;SIstem jaringan komputer;Analisis kondisi sistem jaringan komputer lokal yang sedang berjalan;0.340
369;Pranata Komputer;Infrastruktur TI;SIstem jaringan komputer;rancangan logis sistem jaringan komputer lokal;0.220
370;Pranata Komputer;Infrastruktur TI;SIstem jaringan komputer;rancangan fisik sistem jaringan komputer lokal;0.540
371;Pranata Komputer;Infrastruktur TI;SIstem jaringan komputer;rancangan logis sistem pengamanan jaringan komputer lokal;0.165
372;Pranata Komputer;Infrastruktur TI;SIstem jaringan komputer;rancangan uji coba sistem jaringan lokal;0.110
373;Pranata Komputer;Infrastruktur TI;SIstem jaringan komputer;uji coba sistem jaringan komputer lokal;0.060
374;Pranata Komputer;Infrastruktur TI;SIstem jaringan komputer;pemantauan jaringan;0.020
375;Pranata Komputer;Infrastruktur TI;SIstem jaringan komputer;deteksi dan atau perbaikan terhadap permasalahan yang terjadi pada sistem jaringan lokal;0.011
376;Pranata Komputer;Infrastruktur TI;SIstem jaringan komputer;Menyusun pedoman operasional sistem jaringan komputer dan keamanan jaringan;1.686
377;Pranata Komputer;Infrastruktur TI;Manajemen infrastruktur TI;pemeriksaan kesesuaian antara perangkat TI End User dengan spesifikasi teknis;0.225
378;Pranata Komputer;Infrastruktur TI;Manajemen infrastruktur TI;pencatatan infrastruktur Ti;0.209
379;Pranata Komputer;Infrastruktur TI;Manajemen infrastruktur TI;pengujian perangkat TI End User;0.225
380;Pranata Komputer;Infrastruktur TI;Manajemen infrastruktur TI;pemasangan kabel untuk infrastruktur TI;0.059
381;Pranata Komputer;Infrastruktur TI;Manajemen infrastruktur TI;Menyusun rencana pemeliharaan perangkat TI End User;0.100
382;Pranata Komputer;Infrastruktur TI;Manajemen infrastruktur TI;pemeliharaan perangkat TI End User;0.116
383;Pranata Komputer;Infrastruktur TI;Manajemen infrastruktur TI;pemasangan perangkat fisik TI;0.165
384;Pranata Komputer;Infrastruktur TI;Manajemen infrastruktur TI;Pemantauan (monitoring ) kinerja infrastruktur TI;0.055
385;Pranata Komputer;Infrastruktur TI;Manajemen infrastruktur TI;deteksi dan atau perbaikan terhadap permasalahan perangkat TI End User;0.049
386;Pranata Komputer;Infrastruktur TI;Manajemen infrastruktur TI;instalasi/upgrade sistem operasi komputer/perangkat lunak pada infrastruktur TI;0.042
387;Pranata Komputer;Sistem Informasi dan Multimedia;Sistem informasi;Menyusun petunjuk operasional program aplikasi;0.110
388;Pranata Komputer;Sistem Informasi dan Multimedia;Sistem informasi;Menyusun dokumentasi pengembangan sistem informasi;0.030
389;Pranata Komputer;Sistem Informasi dan Multimedia;Sistem informasi;analisis kebutuhan program aplikasi;0.030
390;Pranata Komputer;Sistem Informasi dan Multimedia;Sistem informasi;Membuat program aplikasi;0.550
391;Pranata Komputer;Sistem Informasi dan Multimedia;Sistem informasi;Mengembangkan dan atau meremajakan program aplikasi;0.275
392;Pranata Komputer;Sistem Informasi dan Multimedia;Sistem informasi;Melakukan uji coba program aplikasi;0.165
393;Pranata Komputer;Sistem Informasi dan Multimedia;Pengolahan Data;Merekam data dengan pemindaian;0.002
394;Pranata Komputer;Sistem Informasi dan Multimedia;Pengolahan Data;Merekam data tanpa validasi;0.000
395;Pranata Komputer;Sistem Informasi dan Multimedia;Pengolahan Data;Validasi hasil perekaman data;0.000
396;Pranata Komputer;Sistem Informasi dan Multimedia;Pengolahan Data;Merekam data dengan validasi;0.001
397;Pranata Komputer;Sistem Informasi dan Multimedia;Pengolahan Data;Membuat query sederhana;0.088
398;Pranata Komputer;Sistem Informasi dan Multimedia;Pengolahan Data;Mengkonversi data;0.002
399;Pranata Komputer;Sistem Informasi dan Multimedia;Pengolahan Data;Mengkompilasi data pengolahan;0.044
400;Pranata Komputer;Sistem Informasi dan Multimedia;Area TI Spesial/Khusus;Merekam data spasial;0.001
401;Pranata Komputer;Sistem Informasi dan Multimedia;Area TI Spesial/Khusus;membuat peta tematik sederhana;0.020
402;Pranata Komputer;Sistem Informasi dan Multimedia;Area TI Spesial/Khusus;pengolahan data atribut dan spasial sederhana;0.040
403;Pranata Komputer;Sistem Informasi dan Multimedia;Area TI Spesial/Khusus;editing data spasial;0.020
404;Pranata Komputer;Sistem Informasi dan Multimedia;Area TI Spesial/Khusus;verifikasi data spasial;0.113
405;Pranata Komputer;Sistem Informasi dan Multimedia;Area TI Spesial/Khusus;desain grafis;0.020
406;Pranata Komputer;Sistem Informasi dan Multimedia;Area TI Spesial/Khusus;editing objek multimedia sederhana dengan piranti lunak;0.255
407;Pranata Komputer;Sistem Informasi dan Multimedia;Area TI Spesial/Khusus;Membuat objek multimedia sederhana dengan piranti lunak;0.690
408;Pranata Komputer;Sistem Informasi dan Multimedia;Area TI Spesial/Khusus;Membuat prototype sederhana pada program multimedia;0.220
409;Pranata Komputer;Sistem Informasi dan Multimedia;Area TI Spesial/Khusus;Membuat program multimedia sederhana;0.440
410;Pranata Komputer;Sistem Informasi dan Multimedia;Area TI Spesial/Khusus;uji coba program multimedia interaktif;0.020
411;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Melakukan identifikasi/reviu kebutuhan dan penetapan barang/jasa;0.060
412;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Menyusun spesifikasi teknis dan Kerangka Acuan Kerja (KAK) pada pekerjaan dengan output barang jadi/layanan jasa Lainnya yang sederhana/pekerjaan konsultan perseorangan;0.050
413;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Menyusun spesifikasi teknis dan Kerangka Acuan Kerja (KAK) pada pekerjaan yang memiliki pedoman/standar/tata kelola yang baku, dengan output hasil pekerjaan konstruksi/layanan/sistem;0.180
414;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Menyusun spesifikasi teknis dan Kerangka Acuan Kerja (KAK) pada pekerjaan yang mempunyai risiko tinggi/memerlukan teknologi tinggi/menggunakan peralatan khusus;0.210
415;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Menyusun Harga Perkiraan Sendiri (HPS) pada pekerjaan;0.100
416;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Menyusun Harga Perkiraan Sendiri (HPS) pada pekerjaan yang memiliki pedoman/standar/tata kelola yang baku;0.220
417;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Menyusun Harga Perkiraan Sendiri (HPS) pada pekerjaan yang mempunyai risiko tinggi/memerlukan teknologi tinggi/menggunakan peralatan khusus;0.330
418;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Melakukan perumusan pemaketan dan cara pengadaan sesuai strategi pengadaan;0.160
419;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Melakukan perumusan strategi pengadaan yang sesuai tujuan organisasi dan/atau tujuan Pengadaan Barang/Jasa Pemerintah;0.180
420;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Melakukan perumusan organisasi Pengadaan Barang/Jasa;0.120
421;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Melakukan analisis belanja untuk pelaksanaan konsolidasi pengadaan;0.200
422;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Melakukan analisis pasar untuk pelaksanaan konsolidasi pengadaan;0.200
423;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Melakukan konsolidasi pada tahap perencanaan pengadaan;0.200
424;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Mereviu dokumen perencanaan pengadaan;0.080
425;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Melakukan konsolidasi untuk paket pengadaan barang/jasa sejenis;0.120
426;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Mengklarifikasi usulan barang/jasa untuk masuk katalog elektronik;0.100
427;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Menganalisis hasil klarifikasi usulan barang/jasa;0.240
428;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Melakukan studi kebutuhan, supply chain & logistic management, spesifikasi teknis, syarat penyedia, dan proses bisnis penyedia;0.900
429;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Mengidentifikasi Norma, Standar, Peraturan, dan Manual (NSPM) pada tahap perencanaan pengadaan;0.040
430;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Menyusun konsep rekomendasi/saran untuk pembinaan/pendampingan Pengadaan Barang/Jasa Pemerintah pada tahap perencanaan pengadaan;0.120
431;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Melaksanakan pembinaan/pendampingan Pengadaan Barang/Jasa Pemerintah pada tahap perencanaan pengadaan;0.180
432;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Mengidentifikasi permasalahan penggunaan sistem informasi/aplikasi pada tahap perencanaan pengadaan;0.060
433;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Melaksanakan pendampingan/bimtek/konsultasi penggunaan sistem informasi/aplikasi pada tahap perencanaan pengadaan;0.120
434;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Menganalisis temuan hasil pemeriksaaan pada tahap perencanaan pengadaan;0.050
435;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Perencanaan Pengadaan Barang/Jasa Pemerintah;Menyusun rekomendasi/rencana tindak lanjut terhadap hasil pemeriksaan pada tahap perencanaan pengadaan;0.100
436;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Pemilihan Penyedia Barang/Jasa Pemerintah;reviu dokumen persiapan pada pekerjaan yang dilakukan dengan metode pemilihan Pengadaan Langsung/Tender Cepat/e-purchasing;0.040
437;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Pemilihan Penyedia Barang/Jasa Pemerintah;reviu dokumen persiapan pada pekerjaan yang dilakukan dengan metode pemilihan Tender/Seleksi/Penunjukan Langsung;0.080
438;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Pemilihan Penyedia Barang/Jasa Pemerintah;penyusunan dan penjelasan dokumen pemilihan pada pekerjaan yang dilakukan dengan metode pemilihan Pengadaan Langsung/Tender Cepat;0.080
439;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Pemilihan Penyedia Barang/Jasa Pemerintah;penyusunan dan penjelasan dokumen pemilihan pada pekerjaan yang dilakukan dengan metode pemilihan Tender/Seleksi/Penunjukan Langsung;0.120
440;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Pemilihan Penyedia Barang/Jasa Pemerintah;penyusunan dan penjelasan dokumen pemilihan pada Tender/Seleksi Internasional, pengadaan badan usaha pelaksana Kerjasama Pemerintah dengan Badan Usaha (KPBU), atau Pekerjaan Terintegrasi;0.210
441;Pengelolaan Pengadaan Barang/jasa;Pengadaan Barang/Jasa;Pemilihan Penyedia Barang/Jasa Pemerintah;evaluasi penawaran dengan metode evaluasi harga terendah sistem gugur;0.080
